V	J
0.0	1.516257
0.01	1.516257
0.02	1.516257
0.03	1.516257
0.04	1.516257
0.05	1.516257
0.06	1.516257
0.07	1.516257
0.08	1.516257
0.09	1.516257
0.1	1.516257
0.11	1.516257
0.12	1.516257
0.13	1.516257
0.14	1.516257
0.15	1.516257
0.16	1.516257
0.17	1.516257
0.18	1.516257
0.19	1.516257
0.2	1.516257
0.21	1.516257
0.22	1.516257
0.23	1.516257
0.24	1.516257
0.25	1.516257
0.26	1.516257
0.27	1.516257
0.28	1.516257
0.29	1.516257
0.3	1.516257
0.31	1.516257
0.32	1.516257
0.33	1.516257
0.34	1.516257
0.350000	1.516257
0.36	1.516257
0.37	1.516257
0.38	1.516257
0.39	1.516257
0.4	1.516257
0.410000	1.516257
0.42	1.516257
0.43	1.516257
0.44	1.516257
0.45	1.516257
0.46	1.516257
0.470000	1.516257
0.48	1.516256
0.49	1.516256
0.5	1.516255
0.51	1.516253
0.52	1.516249
0.53	1.516242
0.54	1.516228
0.55	1.516200
0.56	1.516147
0.570000	1.516045
0.58	1.515846
0.59	1.515461
0.6	1.514716
0.61	1.513274
0.62	1.510482
0.63	1.505076
0.64	1.494608
0.65	1.474341
0.66	1.435101
0.67	1.359126
0.68	1.212025
0.690000	0.927215
0.700000	0.375777
0.71	-0.69189
0.72	-2.75908
0.73	-6.76148
0.74	-14.5107
0.75	-29.5146
0.76	-58.5646
0.77	-114.810
0.78	-223.710
0.79	-434.558
0.8	-842.794
0.81	-1633.20
0.820000	-3163.57
0.830000	-6126.60
0.84	-11863.5
0.85	-22971.0
0.86	-44477.1
0.87	-86116.3
0.88	-166736.
0.89	-322830.
0.9	-625052.
0.91	-1210203
0.92	-2343151
0.93	-4536719
0.940000	-8783821
0.950000	-1700689
0.96	-3292808
0.97	-6375408
0.98	-1234381
0.99	-2389962
1.0	-4627352
1.01	-8959299
1.02	-1734664
1.03	-3358590
1.04	-6502772
1.05	-1259041
1.06	-2437707
1.07	-4719794
1.08	-9138282
1.09	-1769318
1.1	-3425686
1.11	-6632680
1.12	-1284193
1.130000	-2486406
1.140000	-4814082
1.150000	-9320840
1.16	-1804664
1.17	-3494121
1.18	-6765183
1.19	-1309848
1.2	-2536077
1.21	-4910255
1.22	-9507045
1.23	-1840717
1.24	-3563924
1.25	-6900333
1.26	-1.33601
1.27	-2.58674
1.28	-5.00834
1.29	-9.69697
1.3	-1.87748
1.31	-3.63512
1.32	-7.03818
