V	J
0.0	15.56552
0.01	15.56552
0.02	15.56552
0.03	15.56552
0.04	15.56552
0.05	15.56552
0.06	15.56552
0.07	15.56552
0.08	15.56552
0.09	15.56552
0.1	15.56552
0.11	15.56552
0.12	15.56552
0.13	15.56552
0.14	15.56552
0.15	15.56552
0.16	15.56552
0.17	15.56552
0.18	15.56552
0.19	15.56552
0.2	15.56552
0.21	15.56552
0.22	15.56552
0.23	15.56552
0.24	15.56552
0.25	15.56552
0.26	15.56552
0.27	15.56552
0.28	15.56552
0.29	15.56552
0.3	15.56552
0.31	15.56552
0.32	15.56552
0.33	15.56552
0.34	15.56552
0.350000	15.56552
0.36	15.56552
0.37	15.56552
0.38	15.56552
0.39	15.56552
0.4	15.56552
0.410000	15.56552
0.42	15.56552
0.43	15.56552
0.44	15.56552
0.45	15.56551
0.46	15.56551
0.470000	15.56551
0.48	15.56551
0.49	15.56551
0.5	15.56551
0.51	15.56551
0.52	15.56550
0.53	15.56549
0.54	15.56547
0.55	15.56542
0.56	15.56532
0.570000	15.56514
0.58	15.56479
0.59	15.56409
0.6	15.56273
0.61	15.56008
0.62	15.55488
0.63	15.54472
0.64	15.52485
0.65	15.48600
0.66	15.41004
0.67	15.26151
0.68	14.97108
0.690000	14.40320
0.700000	13.29281
0.71	11.12163
0.72	6.876270
0.73	-1.42480
0.74	-17.6561
0.75	-49.3936
0.76	-111.450
0.77	-232.793
0.78	-470.057
0.79	-933.985
0.8	-1841.11
0.81	-3614.85
0.820000	-7083.09
0.830000	-13864.6
0.84	-27124.7
0.85	-53052.7
0.86	-103750.
0.87	-202880.
0.88	-396712.
0.89	-775718.
0.9	-1516797
0.91	-2965851
0.92	-5799224
0.93	-1133939
0.940000	-2217224
0.950000	-4335400
0.96	-8477128
0.97	-1657556
0.98	-3241064
0.99	-6337342
1.0	-1239157
1.01	-2422958
1.02	-4737677
1.03	-9263709
1.04	-1811358
1.05	-3541798
1.06	-6925374
1.07	-1354137
1.08	-2647781
1.09	-5177278
1.1	-1012327
1.11	-1979431
1.12	-3870435
1.130000	-7567968
1.140000	-1479785
1.150000	-2893464
1.16	-5657670
1.17	-1106259
1.18	-2163099
1.19	-4229567
1.2	-8270188
1.21	-1617092
1.22	-3161944
1.23	-6182636
1.24	-1.20890
1.25	-2.36381
1.26	-4.62202
1.27	-9.03756
1.28	-1.76713
1.29	-3.45533
1.3	-6.75631
1.31	-1.32108
1.32	-2.58314
