V	J
0.0	35.55049
0.01	35.55049
0.02	35.55049
0.03	35.55049
0.04	35.55049
0.05	35.55049
0.06	35.55049
0.07	35.55049
0.08	35.55049
0.09	35.55049
0.1	35.55049
0.11	35.55049
0.12	35.55049
0.13	35.55049
0.14	35.55049
0.15	35.55049
0.16	35.55049
0.17	35.55049
0.18	35.55049
0.19	35.55049
0.2	35.55049
0.21	35.55049
0.22	35.55049
0.23	35.55049
0.24	35.55049
0.25	35.55049
0.26	35.55049
0.27	35.55049
0.28	35.55049
0.29	35.55049
0.3	35.55049
0.31	35.55049
0.32	35.55049
0.33	35.55049
0.34	35.55049
0.350000	35.55049
0.36	35.55049
0.37	35.55049
0.38	35.55049
0.39	35.55049
0.4	35.55049
0.410000	35.55049
0.42	35.55049
0.43	35.55049
0.44	35.55049
0.45	35.55049
0.46	35.55049
0.470000	35.55049
0.48	35.55049
0.49	35.55049
0.5	35.55049
0.51	35.55049
0.52	35.55048
0.53	35.55048
0.54	35.55048
0.55	35.55047
0.56	35.55046
0.570000	35.55044
0.58	35.55040
0.59	35.55033
0.6	35.55019
0.61	35.54993
0.62	35.54945
0.63	35.54853
0.64	35.54680
0.65	35.54354
0.66	35.53740
0.67	35.52585
0.68	35.50408
0.690000	35.46309
0.700000	35.38588
0.71	35.24048
0.72	34.96663
0.73	34.45088
0.74	33.47954
0.75	31.65016
0.76	28.20478
0.77	21.71592
0.78	9.495084
0.79	-13.5210
0.8	-56.8687
0.81	-138.507
0.820000	-292.263
0.830000	-581.838
0.84	-1127.21
0.85	-2154.34
0.86	-4088.80
0.87	-7732.07
0.88	-14593.6
0.89	-27516.4
0.9	-51854.5
0.91	-97692.0
0.92	-184020.
0.93	-346606.
0.940000	-652815.
0.950000	-1229514
0.96	-2315643
0.97	-4361210
0.98	-8213739
0.99	-1546942
1.0	-2913444
1.01	-5487054
1.02	-1033407
1.03	-1946273
1.04	-3665525
1.05	-6903487
1.06	-1300171
1.07	-2448685
1.08	-4611744
1.09	-8685554
1.1	-1635798
1.11	-3080789
1.12	-5802221
1.130000	-1092764
1.140000	-2058063
1.150000	-3876064
1.16	-7300006
1.17	-1374850
1.18	-2589332
1.19	-4876632
1.2	-9184430
1.21	-1729754
1.22	-3257742
1.23	-6135486
1.24	-1155530
1.25	-2176273
1.26	-4098696
1.27	-7719301
1.28	-1453818
1.29	-2738056
1.3	-5156733
1.31	-9711962
1.32	-1.82910
