V	J
0.0	36.43288
0.01	36.43288
0.02	36.43288
0.03	36.43288
0.04	36.43288
0.05	36.43288
0.06	36.43288
0.07	36.43288
0.08	36.43288
0.09	36.43288
0.1	36.43288
0.11	36.43288
0.12	36.43288
0.13	36.43288
0.14	36.43288
0.15	36.43288
0.16	36.43288
0.17	36.43288
0.18	36.43288
0.19	36.43288
0.2	36.43288
0.21	36.43288
0.22	36.43288
0.23	36.43288
0.24	36.43288
0.25	36.43288
0.26	36.43288
0.27	36.43288
0.28	36.43288
0.29	36.43288
0.3	36.43288
0.31	36.43288
0.32	36.43288
0.33	36.43288
0.34	36.43288
0.350000	36.43287
0.36	36.43285
0.37	36.43279
0.38	36.43263
0.39	36.43219
0.4	36.43101
0.410000	36.42783
0.42	36.41919
0.43	36.39582
0.44	36.33255
0.45	36.16126
0.46	35.69758
0.470000	34.44232
0.48	31.04421
0.49	21.84515
0.5	-3.05774
0.51	-70.4726
0.52	-252.972
0.53	-747.019
0.54	-2084.46
0.55	-5705.06
0.56	-15506.4
0.570000	-42039.8
0.58	-113868.
0.59	-308317.
0.6	-834713.
0.61	-2259725
0.62	-6117391
0.63	-1656052
0.64	-4483126
0.65	-1213633
0.66	-3285441
0.67	-8894058
0.68	-2407721
0.690000	-6517971
0.700000	-1764487
0.71	-4776666
0.72	-1293097
0.73	-3500558
0.74	-9476405
0.75	-2565369
0.76	-6944741
0.77	-1880019
0.78	-5089423
0.79	-1377763
0.8	-3729761
0.81	-1009688
0.820000	-2733338
0.830000	-7399454
0.84	-2.00311
0.85	-5.42265
0.86	-1.46797
0.87	-3.97397
0.88	-1.07579
0.89	-2.91230
0.9	-7.88394
0.91	-2.13427
0.92	-5.77771
0.93	-1.56409
0.940000	-4.23416
0.950000	-1.14623
0.96	-3.10299
0.97	-8.40014
0.98	-2.27401
0.99	-6.15601
1.0	-1.66650
1.01	-4.51140
1.02	-1.22128
1.03	-3.30616
1.04	-8.95015
1.05	-2.42290
1.06	-6.55908
1.07	-1.77561
1.08	-4.80679
1.09	-1.30125
1.1	-3.52263
1.11	-9.53617
1.12	-2.58154
1.130000	-6.98854
1.140000	-1.89187
1.150000	-5.12152
1.16	-1.38645
1.17	-3.75328
1.18	-1.01605
1.19	-2.75057
1.2	-7.44612
1.21	-2.01574
1.22	-5.45685
1.23	-1.47723
1.24	-3.99903
1.25	-1.08258
1.26	-2.93067
1.27	-7.93366
1.28	-2.14773
1.29	-5.81415
1.3	-1.57395
1.31	-4.26087
1.32	-1.15346
