V	J
0.0	25.76479
0.01	25.76479
0.02	25.76479
0.03	25.76479
0.04	25.76479
0.05	25.76479
0.06	25.76479
0.07	25.76479
0.08	25.76479
0.09	25.76479
0.1	25.76479
0.11	25.76479
0.12	25.76479
0.13	25.76479
0.14	25.76479
0.15	25.76479
0.16	25.76479
0.17	25.76479
0.18	25.76479
0.19	25.76479
0.2	25.76479
0.21	25.76479
0.22	25.76479
0.23	25.76479
0.24	25.76479
0.25	25.76479
0.26	25.76479
0.27	25.76479
0.28	25.76479
0.29	25.76479
0.3	25.76479
0.31	25.76479
0.32	25.76479
0.33	25.76479
0.34	25.76479
0.350000	25.76479
0.36	25.76479
0.37	25.76479
0.38	25.76479
0.39	25.76479
0.4	25.76479
0.410000	25.76479
0.42	25.76479
0.43	25.76479
0.44	25.76479
0.45	25.76479
0.46	25.76479
0.470000	25.76479
0.48	25.76479
0.49	25.76479
0.5	25.76479
0.51	25.76479
0.52	25.76479
0.53	25.76479
0.54	25.76479
0.55	25.76479
0.56	25.76479
0.570000	25.76479
0.58	25.76479
0.59	25.76479
0.6	25.76479
0.61	25.76479
0.62	25.76479
0.63	25.76479
0.64	25.76479
0.65	25.76479
0.66	25.76479
0.67	25.76479
0.68	25.76479
0.690000	25.76479
0.700000	25.76479
0.71	25.76479
0.72	25.76479
0.73	25.76479
0.74	25.76479
0.75	25.76479
0.76	25.76479
0.77	25.76479
0.78	25.76479
0.79	25.76479
0.8	25.76478
0.81	25.76478
0.820000	25.76477
0.830000	25.76475
0.84	25.76473
0.85	25.76469
0.86	25.76463
0.87	25.76454
0.88	25.76440
0.89	25.76419
0.9	25.76386
0.91	25.76334
0.92	25.76255
0.93	25.76133
0.940000	25.75944
0.950000	25.75653
0.96	25.75202
0.97	25.74506
0.98	25.73431
0.99	25.71769
1.0	25.69203
1.01	25.65238
1.02	25.59112
1.03	25.49648
1.04	25.35026
1.05	25.12437
1.06	24.77539
1.07	24.23624
1.08	23.40330
1.09	22.11645
1.1	20.12838
1.11	17.05696
1.12	12.31184
1.130000	4.980989
1.140000	-6.34463
1.150000	-23.8418
1.16	-50.8737
1.17	-92.6360
1.18	-157.155
1.19	-256.833
1.2	-410.828
1.21	-648.739
1.22	-1016.29
1.23	-1584.13
1.24	-2461.41
1.25	-3816.74
1.26	-5910.62
1.27	-9145.50
1.28	-14143.1
1.29	-21864.1
1.3	-33792.5
1.31	-52220.9
1.32	-80691.5
