V	J
0.0	10.44301
0.01	10.44301
0.02	10.44301
0.03	10.44301
0.04	10.44301
0.05	10.44301
0.06	10.44301
0.07	10.44301
0.08	10.44301
0.09	10.44301
0.1	10.44301
0.11	10.44301
0.12	10.44301
0.13	10.44301
0.14	10.44301
0.15	10.44301
0.16	10.44301
0.17	10.44301
0.18	10.44301
0.19	10.44301
0.2	10.44301
0.21	10.44301
0.22	10.44301
0.23	10.44301
0.24	10.44301
0.25	10.44301
0.26	10.44301
0.27	10.44301
0.28	10.44301
0.29	10.44301
0.3	10.44301
0.31	10.44301
0.32	10.44301
0.33	10.44301
0.34	10.44301
0.350000	10.44301
0.36	10.44301
0.37	10.44301
0.38	10.44301
0.39	10.44301
0.4	10.44301
0.410000	10.44301
0.42	10.44301
0.43	10.44301
0.44	10.44301
0.45	10.44301
0.46	10.44301
0.470000	10.44301
0.48	10.44301
0.49	10.44301
0.5	10.44301
0.51	10.44301
0.52	10.44301
0.53	10.44301
0.54	10.44301
0.55	10.44301
0.56	10.44301
0.570000	10.44301
0.58	10.44301
0.59	10.44301
0.6	10.44301
0.61	10.44301
0.62	10.44301
0.63	10.44301
0.64	10.44301
0.65	10.44301
0.66	10.44301
0.67	10.44301
0.68	10.44301
0.690000	10.44301
0.700000	10.44301
0.71	10.44301
0.72	10.44301
0.73	10.44301
0.74	10.44301
0.75	10.44301
0.76	10.44301
0.77	10.44301
0.78	10.44301
0.79	10.44301
0.8	10.44301
0.81	10.44301
0.820000	10.44300
0.830000	10.44300
0.84	10.44300
0.85	10.44299
0.86	10.44298
0.87	10.44296
0.88	10.44294
0.89	10.44290
0.9	10.44285
0.91	10.44277
0.92	10.44264
0.93	10.44245
0.940000	10.44217
0.950000	10.44173
0.96	10.44108
0.97	10.44008
0.98	10.43858
0.99	10.43630
1.0	10.43284
1.01	10.42761
1.02	10.41968
1.03	10.40768
1.04	10.38949
1.05	10.36193
1.06	10.32019
1.07	10.25697
1.08	10.16119
1.09	10.01611
1.1	9.796336
1.11	9.463419
1.12	8.959110
1.130000	8.195177
1.140000	7.037960
1.150000	5.284993
1.16	2.629575
1.17	-1.39288
1.18	-7.48616
1.19	-16.7163
1.2	-30.6983
1.21	-51.8784
1.22	-83.9624
1.23	-132.563
1.24	-206.185
1.25	-317.708
1.26	-486.645
1.27	-742.552
1.28	-1130.20
1.29	-1717.42
1.3	-2606.95
1.31	-3954.42
1.32	-5995.59
